iter	Passed	Remaining
0	48	48162
1	49	24488
2	49	16430
3	50	12561
4	50	10113
5	51	8479
6	52	7461
7	53	6629
8	54	5980
9	55	5459
10	55	5033
11	56	4680
12	57	4369
13	58	4119
14	58	3868
15	59	3646
16	59	3453
17	60	3279
18	60	3124
19	60	2984
20	61	2857
21	61	2742
22	62	2637
23	62	2542
24	62	2453
25	63	2371
26	63	2295
27	64	2225
28	64	2158
29	64	2097
30	65	2040
31	65	1986
32	66	1936
33	66	1889
34	66	1844
35	67	1801
36	67	1761
37	68	1723
38	68	1686
39	68	1652
40	69	1620
41	69	1589
42	70	1559
43	70	1530
44	70	1503
45	71	1477
46	71	1452
47	72	1429
48	72	1405
49	72	1385
50	73	1364
51	73	1344
52	74	1324
53	74	1306
54	75	1288
55	75	1271
56	75	1254
57	76	1238
58	76	1222
59	77	1207
60	77	1192
61	77	1177
62	78	1163
63	78	1150
64	79	1137
65	79	1124
66	79	1111
67	80	1096
68	80	1084
69	80	1073
70	81	1062
71	81	1051
72	81	1040
73	82	1030
74	82	1020
75	83	1010
76	83	1001
77	83	992
78	84	982
79	84	974
80	85	965
81	85	956
82	85	948
83	86	940
84	86	931
85	86	923
86	87	914
87	87	907
88	87	900
89	88	893
90	88	886
91	89	879
92	89	872
93	89	866
94	90	860
95	90	853
96	91	847
97	91	841
98	91	835
99	92	829
100	92	824
101	92	816
102	93	811
103	93	806
104	93	800
105	94	795
106	94	790
107	95	785
108	95	780
109	95	775
110	96	770
111	96	766
112	97	761
113	97	757
114	97	752
115	98	747
116	98	743
117	98	739
118	99	734
119	99	730
120	99	726
121	100	721
122	100	716
123	100	712
124	101	708
125	101	705
126	102	701
127	102	696
128	102	693
129	103	690
130	103	686
131	103	683
132	104	679
133	104	676
134	105	673
135	105	669
136	105	666
137	106	663
138	106	660
139	106	657
140	107	653
141	107	650
142	108	647
143	108	644
144	108	642
145	109	639
146	109	636
147	110	633
148	110	630
149	110	627
150	111	625
151	111	622
152	111	619
153	112	617
154	112	614
155	113	611
156	113	609
157	113	606
158	114	604
159	114	601
160	115	599
161	115	596
162	115	594
163	116	592
164	116	589
165	116	587
166	117	585
167	117	583
168	118	580
169	118	578
170	118	576
171	119	574
172	119	572
173	120	570
174	120	568
175	120	566
176	121	564
177	121	562
178	122	560
179	122	558
180	122	555
181	123	553
182	123	551
183	123	549
184	124	547
185	124	545
186	125	543
187	125	541
188	125	539
189	126	537
190	126	536
191	127	536
192	127	534
193	128	532
194	128	530
195	128	528
196	129	527
197	129	525
198	130	523
199	130	521
200	130	520
201	131	518
202	131	517
203	132	515
204	132	513
205	132	512
206	133	510
207	133	509
208	134	507
209	134	505
210	134	504
211	135	502
212	135	501
213	136	499
214	136	498
215	136	496
216	137	494
217	137	493
218	137	491
219	138	490
220	138	488
221	139	487
222	139	485
223	139	484
224	140	482
225	140	480
226	140	479
227	141	477
228	141	476
229	141	474
230	142	473
231	142	471
232	142	470
233	143	468
234	143	467
235	143	465
236	144	464
237	144	462
238	144	461
239	145	459
240	145	458
241	145	456
242	146	455
243	146	453
244	146	452
245	147	451
246	147	449
247	147	448
248	148	446
249	148	445
250	148	443
251	148	442
252	149	440
253	149	439
254	149	437
255	150	436
256	150	434
257	150	433
258	151	432
259	151	430
260	151	429
261	151	427
262	152	426
263	152	425
264	152	423
265	153	422
266	153	421
267	153	419
268	154	418
269	154	417
270	154	416
271	155	415
272	155	413
273	155	412
274	155	411
275	156	409
276	156	408
277	156	407
278	157	405
279	157	404
280	157	403
281	157	401
282	158	400
283	158	399
284	158	397
285	158	396
286	159	395
287	159	394
288	159	392
289	159	391
290	160	390
291	160	389
292	160	387
293	161	386
294	161	385
295	161	384
296	161	383
297	162	381
298	162	380
299	162	379
300	162	378
301	163	377
302	163	376
303	163	374
304	163	373
305	164	372
306	164	371
307	164	370
308	165	369
309	165	367
310	165	366
311	165	365
312	166	364
313	166	363
314	166	362
315	166	361
316	167	360
317	167	358
318	167	357
319	167	356
320	168	355
321	168	354
322	168	353
323	168	352
324	169	351
325	169	350
326	169	349
327	169	348
328	170	347
329	170	346
330	170	345
331	170	343
332	171	342
333	171	341
334	171	340
335	171	339
336	172	338
337	172	337
338	172	336
339	173	335
340	173	334
341	173	333
342	173	332
343	174	331
344	174	330
345	174	329
346	174	329
347	175	328
348	175	327
349	175	326
350	175	325
351	176	324
352	176	323
353	176	322
354	176	321
355	177	320
356	177	319
357	177	318
358	177	317
359	178	316
360	178	315
361	178	315
362	179	314
363	179	313
364	179	312
365	179	311
366	180	310
367	180	309
368	180	308
369	180	307
370	181	307
371	181	306
372	181	305
373	181	304
374	182	303
375	182	302
376	182	301
377	182	300
378	183	300
379	183	299
380	183	298
381	183	297
382	184	296
383	184	295
384	184	295
385	184	294
386	185	293
387	185	292
388	185	291
389	185	290
390	186	290
391	186	289
392	186	288
393	187	287
394	187	286
395	187	286
396	187	285
397	188	284
398	188	283
399	188	282
400	188	281
401	189	281
402	189	280
403	189	279
404	189	278
405	190	278
406	190	277
407	190	276
408	190	275
409	191	274
410	191	274
411	191	273
412	191	272
413	192	271
414	192	271
415	192	270
416	192	269
417	193	268
418	193	268
419	193	267
420	193	266
421	194	265
422	194	265
423	194	264
424	194	263
425	195	262
426	195	262
427	195	261
428	195	260
429	196	260
430	196	259
431	196	258
432	196	257
433	197	257
434	197	256
435	197	255
436	198	255
437	198	254
438	198	253
439	198	253
440	199	252
441	199	251
442	199	250
443	199	250
444	200	249
445	200	248
446	200	248
447	200	247
448	201	246
449	201	246
450	201	245
451	201	244
452	202	244
453	202	243
454	202	242
455	202	242
456	203	241
457	203	240
458	203	240
459	203	239
460	204	238
461	204	238
462	204	237
463	204	236
464	205	236
465	205	235
466	205	234
467	205	234
468	206	233
469	206	232
470	206	232
471	207	231
472	207	230
473	207	230
474	207	229
475	208	229
476	208	228
477	208	227
478	208	227
479	209	226
480	209	225
481	209	225
482	209	224
483	210	223
484	210	223
485	210	222
486	210	222
487	211	221
488	211	220
489	211	220
490	211	219
491	212	219
492	212	218
493	212	217
494	212	217
495	213	216
496	213	215
497	213	215
498	213	214
499	214	214
500	214	213
501	214	212
502	214	212
503	215	211
504	215	211
505	215	210
506	215	209
507	216	209
508	216	208
509	216	208
510	216	207
511	217	207
512	217	206
513	217	205
514	218	205
515	218	204
516	218	204
517	218	203
518	219	203
519	219	202
520	219	201
521	219	201
522	220	200
523	220	200
524	220	199
525	220	199
526	221	198
527	221	197
528	221	197
529	221	196
530	222	196
531	222	195
532	222	195
533	222	194
534	223	193
535	223	193
536	223	192
537	223	192
538	224	191
539	224	191
540	225	191
541	225	190
542	225	189
543	225	189
544	226	189
545	227	188
546	227	188
547	227	187
548	228	187
549	228	186
550	228	186
551	228	185
552	229	185
553	229	184
554	229	184
555	229	183
556	230	183
557	230	182
558	230	181
559	230	181
560	231	180
561	231	180
562	231	179
563	231	179
564	232	178
565	232	178
566	232	177
567	232	177
568	233	176
569	233	176
570	233	175
571	233	175
572	234	174
573	234	174
574	234	173
575	235	172
576	235	172
577	235	171
578	235	171
579	236	170
580	236	170
581	236	169
582	236	169
583	237	168
584	237	168
585	237	167
586	237	167
587	238	166
588	238	166
589	238	165
590	238	165
591	239	164
592	239	164
593	239	163
594	239	163
595	240	162
596	240	162
597	240	161
598	240	161
599	241	160
600	241	160
601	241	159
602	241	159
603	242	158
604	242	158
605	242	157
606	242	157
607	243	156
608	243	156
609	243	155
610	243	155
611	244	154
612	244	154
613	244	153
614	244	153
615	245	152
616	245	152
617	245	151
618	245	151
619	246	150
620	246	150
621	246	149
622	247	149
623	247	148
624	247	148
625	247	148
626	248	147
627	248	147
628	248	146
629	248	146
630	249	145
631	249	145
632	249	144
633	249	144
634	250	143
635	250	143
636	250	142
637	250	142
638	251	141
639	251	141
640	251	140
641	251	140
642	252	139
643	252	139
644	252	139
645	252	138
646	253	138
647	253	137
648	253	137
649	253	136
650	254	136
651	254	135
652	254	135
653	254	134
654	255	134
655	255	133
656	255	133
657	256	133
658	256	132
659	256	132
660	256	131
661	257	131
662	257	130
663	257	130
664	257	129
665	258	129
666	258	128
667	258	128
668	258	128
669	259	127
670	259	127
671	259	126
672	259	126
673	260	125
674	260	125
675	260	124
676	260	124
677	261	124
678	261	123
679	261	123
680	261	122
681	262	122
682	262	121
683	262	121
684	262	120
685	263	120
686	263	120
687	263	119
688	263	119
689	264	118
690	264	118
691	264	117
692	265	117
693	265	116
694	265	116
695	265	116
696	266	115
697	266	115
698	266	114
699	266	114
700	267	113
701	267	113
702	267	113
703	267	112
704	268	112
705	268	111
706	268	111
707	268	110
708	269	110
709	269	110
710	269	109
711	269	109
712	270	108
713	270	108
714	270	107
715	270	107
716	271	107
717	271	106
718	271	106
719	272	105
720	272	105
721	272	104
722	272	104
723	273	104
724	273	103
725	273	103
726	273	102
727	274	102
728	274	102
729	274	101
730	274	101
731	275	100
732	275	100
733	275	99
734	275	99
735	276	99
736	276	98
737	276	98
738	277	97
739	277	97
740	277	97
741	277	96
742	278	96
743	278	95
744	278	95
745	278	94
746	279	94
747	279	94
748	279	93
749	279	93
750	280	92
751	280	92
752	280	92
753	280	91
754	281	91
755	281	90
756	281	90
757	281	89
758	282	89
759	282	89
760	282	88
761	282	88
762	283	87
763	283	87
764	283	87
765	283	86
766	284	86
767	284	85
768	284	85
769	285	85
770	285	84
771	285	84
772	285	83
773	286	83
774	286	83
775	286	82
776	286	82
777	287	81
778	287	81
779	287	81
780	287	80
781	288	80
782	288	79
