iter	Passed	Remaining
0	0	851
1	1	636
2	1	560
3	2	529
4	2	507
5	2	491
6	3	486
7	3	470
8	4	456
9	4	441
10	4	433
11	5	429
12	5	421
13	5	418
14	6	411
15	6	403
16	6	396
17	7	389
18	7	388
19	7	388
20	8	388
21	8	387
22	9	384
23	9	382
24	9	379
25	10	375
26	10	372
27	10	370
28	11	369
29	11	368
30	11	366
31	12	363
32	12	361
33	12	359
34	12	357
35	13	354
36	13	353
37	13	352
38	14	351
39	14	352
40	15	351
41	15	349
42	15	346
43	15	344
44	16	342
45	16	340
46	16	338
47	16	335
48	17	334
49	17	332
50	17	330
51	18	328
52	18	327
53	18	325
54	18	323
55	19	321
56	19	321
57	19	321
58	20	325
59	20	325
60	21	325
61	21	324
62	21	324
63	22	324
64	22	323
65	22	324
66	23	329
67	24	335
68	24	334
69	25	334
70	25	333
71	25	331
72	26	330
73	26	330
74	26	330
75	27	330
76	27	331
77	27	330
78	28	329
79	28	328
80	28	327
81	29	327
82	29	325
83	29	325
84	30	324
85	30	324
86	30	323
87	31	322
88	31	322
89	31	321
90	32	321
91	32	320
92	32	320
93	33	319
94	33	319
95	33	319
96	34	318
97	34	317
98	34	316
99	35	316
100	35	315
101	35	315
102	36	316
103	36	316
104	37	315
105	37	314
106	37	313
107	37	312
108	38	311
109	38	310
110	38	309
111	38	308
112	39	308
113	39	307
114	39	307
115	40	306
116	40	306
117	40	306
118	41	305
119	41	304
120	41	304
121	42	303
122	42	302
123	42	302
124	43	301
125	43	301
126	43	301
127	44	300
128	44	300
129	44	300
130	45	299
131	45	299
132	45	298
133	46	297
134	46	297
135	46	297
136	47	297
137	47	298
138	48	297
139	48	297
140	48	297
141	49	296
142	49	296
143	49	296
144	50	295
145	50	295
146	50	294
147	51	293
148	51	293
149	51	293
150	52	293
151	52	293
152	52	292
153	53	292
154	53	292
155	53	291
156	54	291
157	54	290
158	54	290
159	55	289
160	55	288
161	55	289
162	56	288
163	56	288
164	56	287
165	57	287
166	57	287
167	58	287
168	58	287
169	58	286
170	59	286
171	59	285
172	59	285
173	59	284
174	60	284
175	60	284
176	61	285
177	61	285
178	62	284
179	63	287
180	63	288
181	64	290
182	65	293
183	66	294
184	67	296
185	68	298
186	68	299
187	69	301
188	70	302
189	71	304
190	72	307
191	74	311
192	74	313
193	75	314
194	76	315
195	76	315
196	77	316
197	78	317
198	79	318
199	79	317
200	80	318
201	80	317
202	80	317
203	81	316
204	81	316
205	82	316
206	82	315
207	82	314
208	83	314
209	83	314
210	84	314
211	84	313
212	84	313
213	85	312
214	85	311
215	86	312
216	86	311
217	87	312
218	87	312
219	87	311
220	88	310
221	88	309
222	88	309
223	90	314
224	91	313
225	91	313
226	91	312
227	92	311
228	92	311
229	92	310
230	94	313
231	94	313
232	95	313
233	95	312
234	97	318
235	98	318
236	99	319
237	99	318
238	99	317
239	100	317
240	100	317
241	101	316
242	101	316
243	101	315
244	102	314
245	102	313
246	102	313
247	103	312
248	103	312
249	103	311
250	104	310
251	104	310
252	105	310
253	105	310
254	106	309
255	106	309
256	107	310
257	107	309
258	107	308
259	108	308
260	108	307
261	109	307
262	109	306
263	109	306
264	110	305
265	110	304
266	110	303
267	111	303
268	111	302
269	111	301
270	111	301
271	112	300
272	112	300
273	113	299
274	113	298
275	113	298
276	114	297
277	114	297
278	114	296
279	115	295
280	115	295
281	115	294
282	116	294
283	116	293
284	116	292
285	117	292
286	117	291
287	117	290
288	118	290
289	118	289
290	118	289
291	119	289
292	119	288
293	120	288
294	120	287
295	120	286
296	120	286
297	121	285
298	121	285
299	122	284
300	122	284
301	122	283
302	122	282
303	123	282
304	123	282
305	124	281
306	124	281
307	125	280
308	125	280
309	125	279
310	126	279
311	126	278
312	126	278
313	126	277
314	127	276
315	127	276
316	128	275
317	128	275
318	128	275
319	129	274
320	129	273
321	129	273
322	130	272
323	130	271
324	130	271
325	131	271
326	131	270
327	131	270
328	132	269
329	132	269
330	132	268
331	133	268
332	133	267
333	133	266
334	134	266
335	134	266
336	134	265
337	135	264
338	135	264
339	135	263
340	136	263
341	136	262
342	136	262
343	137	261
344	137	261
345	137	260
346	138	260
347	138	259
348	138	259
349	139	258
350	139	258
351	139	257
352	140	257
353	140	256
354	140	255
355	141	255
356	141	254
357	141	254
358	142	253
359	142	253
360	142	252
361	143	252
362	143	252
363	144	251
364	144	251
365	144	251
366	145	250
367	146	251
368	146	250
369	147	250
370	148	251
371	148	250
372	148	250
373	149	249
374	149	249
375	149	248
376	150	248
377	150	247
378	150	247
379	151	246
380	151	246
381	151	245
382	152	245
383	152	244
384	152	244
385	153	243
386	153	243
387	153	242
388	154	242
389	154	242
390	155	241
391	155	241
392	156	241
393	156	240
394	156	240
395	157	239
396	157	239
397	157	238
398	158	238
399	158	237
400	158	237
401	159	236
402	159	236
403	159	235
404	159	235
405	160	234
406	160	234
407	161	233
408	162	234
409	162	234
410	163	234
411	164	235
412	165	235
413	166	235
414	166	235
415	167	235
416	168	235
417	168	235
418	171	238
419	172	238
420	173	238
421	174	238
422	174	238
423	176	239
424	177	240
425	178	240
426	179	240
427	179	240
428	180	240
429	181	240
430	182	240
431	182	240
432	182	239
433	183	238
434	184	239
435	184	239
436	185	238
437	185	238
438	186	237
439	186	237
440	186	236
441	187	236
442	187	235
443	187	235
444	188	234
445	188	234
446	188	233
447	189	232
448	189	232
449	189	231
450	190	231
451	190	230
452	190	230
453	191	229
454	191	229
455	191	228
456	192	228
457	192	227
458	192	227
459	193	226
460	193	226
461	193	225
462	194	225
463	194	224
464	194	224
465	195	223
466	195	223
467	195	222
468	196	222
469	196	221
470	196	220
471	197	220
472	197	219
473	197	219
474	197	218
475	198	218
476	198	217
477	199	217
478	199	217
479	200	216
480	200	216
481	200	215
482	201	215
483	201	214
484	202	214
485	202	214
486	203	214
487	204	214
488	205	214
489	205	213
490	205	213
491	206	212
492	206	212
493	207	212
494	207	211
495	207	211
496	208	210
497	208	210
498	208	209
499	209	209
500	209	208
501	209	208
502	210	207
503	210	207
504	210	206
505	211	206
506	211	205
507	211	205
508	212	204
509	212	204
510	212	203
511	213	203
512	213	202
513	213	202
514	214	201
515	214	201
516	214	200
517	215	200
518	215	199
519	215	199
520	216	198
521	216	198
522	216	197
523	217	197
524	217	196
525	217	196
526	218	195
527	218	195
528	219	195
529	219	194
530	220	194
531	220	193
532	220	193
533	221	193
534	221	192
535	221	192
536	222	191
537	222	191
538	222	190
539	223	190
540	223	189
541	224	189
542	224	189
543	225	188
544	225	188
545	225	187
546	226	187
547	226	186
548	226	186
549	227	185
550	227	185
551	227	184
552	228	184
553	228	183
554	228	183
555	229	182
556	229	182
557	229	181
558	229	181
559	230	180
560	230	180
561	230	179
562	231	179
563	231	178
564	231	178
565	232	178
566	232	177
567	232	177
568	233	176
569	233	176
570	233	175
571	234	175
572	234	174
573	234	174
574	235	173
575	235	173
576	235	172
577	236	172
578	236	172
579	236	171
580	237	171
581	237	170
582	238	170
583	238	169
584	238	169
585	239	168
586	239	168
587	239	168
588	240	167
589	240	167
590	240	166
591	241	166
592	241	165
593	241	165
594	242	164
595	242	164
596	243	164
597	243	163
598	243	163
599	244	162
600	244	162
601	244	161
602	245	161
603	245	160
604	245	160
605	245	159
606	246	159
607	246	158
608	246	158
609	247	158
610	247	157
611	247	157
612	248	156
613	248	156
614	248	155
615	249	155
616	249	154
617	249	154
618	250	153
619	250	153
620	250	153
621	251	152
622	251	152
623	251	151
624	251	151
625	252	150
626	252	150
627	252	149
628	253	149
629	254	149
630	254	149
631	255	148
632	255	148
633	255	147
634	256	147
635	256	146
636	256	146
637	257	145
638	257	145
639	257	145
640	258	144
641	258	144
642	259	143
643	259	143
644	259	142
645	259	142
646	260	142
647	260	141
648	260	141
649	261	140
650	262	140
651	262	140
652	262	139
653	263	139
654	263	138
655	264	138
656	264	138
657	264	137
658	265	137
659	265	136
660	265	136
661	266	135
662	266	135
663	266	134
664	266	134
665	267	134
666	267	133
667	267	133
668	268	132
669	268	132
670	268	131
671	269	131
672	269	130
673	269	130
674	270	130
675	270	129
676	270	129
677	271	128
678	271	128
679	271	127
680	272	127
681	272	127
682	272	126
683	273	126
684	273	125
685	273	125
686	273	124
687	274	124
688	274	123
689	274	123
690	275	123
691	275	122
692	276	122
693	276	121
694	276	121
695	277	120
696	277	120
697	277	120
698	278	119
699	278	119
700	278	118
701	279	118
702	279	118
703	279	117
704	280	117
705	280	116
706	280	116
707	281	115
708	281	115
709	281	115
710	282	114
711	282	114
712	282	113
713	283	113
714	283	112
715	284	112
716	284	112
717	284	111
718	285	111
719	285	111
720	285	110
721	286	110
722	286	109
723	287	109
724	287	109
725	287	108
726	288	108
727	288	107
728	288	107
729	289	106
730	289	106
731	289	106
732	290	105
733	290	105
734	290	104
735	291	104
736	291	104
737	292	103
738	292	103
739	292	102
740	293	102
741	293	101
742	293	101
743	294	101
744	294	100
745	294	100
746	295	99
747	295	99
748	295	99
749	296	98
750	296	98
751	296	97
752	297	97
753	297	97
754	298	96
755	298	96
756	298	95
757	298	95
758	299	95
759	299	94
760	299	94
761	300	93
762	300	93
763	300	92
764	301	92
765	301	92
766	302	91
767	302	91
768	303	91
769	303	90
770	303	90
771	304	89
772	304	89
773	304	89
774	305	88
775	305	88
776	306	87
777	306	87
778	307	87
779	307	86
780	307	86
781	307	85
782	308	85
783	308	85
784	309	84
785	309	84
786	310	83
787	310	83
788	310	83
789	311	82
790	311	82
791	311	81
792	312	81
793	312	81
794	313	80
795	313	80
796	313	79
797	313	79
798	314	79
799	314	78
800	314	78
801	315	77
802	316	77
803	316	77
804	316	76
805	317	76
806	317	76
807	318	75
808	319	75
809	319	74
810	319	74
811	320	74
812	320	73
813	321	73
814	321	73
815	322	72
816	322	72
817	322	71
818	323	71
819	323	71
820	323	70
821	324	70
822	324	69
823	325	69
824	325	69
825	326	68
826	326	68
827	326	67
828	327	67
